date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:18:58	134/134	---MCZ	200	added ('OK')	text/plain	date:Sat,%2009%20Jul%202016%2010:18:58%20GMT	http://avsys.tothong.com/robots.txt		(from )
06:18:59	51792/51792	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202016%2010:18:59%20GMT	http://avsys.tothong.com/	C:/My%20Web%20Sites/avsys/avsys.tothong.com/index.html	(from )
06:18:59	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	date:Wed,%2022%20Feb%202012%2004:06:15%20GMT	http://avsys.tothong.com/wp-content/themes/blogum/images/favico.ico	C:/My%20Web%20Sites/avsys/avsys.tothong.com/wp-content/themes/blogum/images/favico.ico	(from http://avsys.tothong.com/)
06:19:00	12691/12691	---MCZ	200	added ('OK')	text/css	date:Wed,%2022%20Feb%202012%2004:06:15%20GMT	http://avsys.tothong.com/wp-content/themes/blogum/style.css	C:/My%20Web%20Sites/avsys/avsys.tothong.com/wp-content/themes/blogum/style.css	(from http://avsys.tothong.com/)
06:19:00	386/386	---MCZ	200	added ('OK')	text/css	date:Wed,%2022%20Feb%202012%2004:06:15%20GMT	http://avsys.tothong.com/wp-content/themes/blogum/pagenavi-css.css	C:/My%20Web%20Sites/avsys/avsys.tothong.com/wp-content/themes/blogum/pagenavi-css.css	(from http://avsys.tothong.com/)
06:19:01	57/57	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Sat,%2009%20Jul%202016%2010:19:01%20GMT	http://avsys.tothong.com/xmlrpc.php	C:/My%20Web%20Sites/avsys/avsys.tothong.com/xmlrpc.php	(from http://avsys.tothong.com/)
06:19:02	57204/57204	---MCZ	200	added ('OK')	text/css	date:Mon,%2021%20Mar%202016%2002:20:25%20GMT	http://avsys.tothong.com/wp-content/plugins/jetpack/css/jetpack.css?ver=3.9.4	C:/My%20Web%20Sites/avsys/avsys.tothong.com/wp-content/plugins/jetpack/css/jetpackf3c8.css	(from http://avsys.tothong.com/)
06:19:02	11358/11358	---MCZ	200	added ('OK')	text/css	date:Tue,%2006%20Mar%202012%2002:50:06%20GMT	http://avsys.tothong.com/wp-content/plugins/codecolorer/codecolorer.css?ver=0.9.9	C:/My%20Web%20Sites/avsys/avsys.tothong.com/wp-content/plugins/codecolorer/codecolorere2dc.css	(from http://avsys.tothong.com/)
06:19:04	4858/4858	---MC-	200	added ('OK')	application/rss+xml	etag:%22dc31d5aa213ae03298aa61dde964fdb1%22	http://avsys.tothong.com/feed/rss/	C:/My%20Web%20Sites/avsys/avsys.tothong.com/feed/rss/index.html	(from http://avsys.tothong.com/)
06:19:04	95977/95977	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2023%20Aug%202015%2003:32:16%20GMT	http://avsys.tothong.com/wp-includes/js/jquery/jquery.js?ver=1.11.3	C:/My%20Web%20Sites/avsys/avsys.tothong.com/wp-includes/js/jquery/jqueryc1d8.js	(from http://avsys.tothong.com/)
06:19:05	7200/7200	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2019%20Feb%202014%2015:36:11%20GMT	http://avsys.tothong.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.2.1	C:/My%20Web%20Sites/avsys/avsys.tothong.com/wp-includes/js/jquery/jquery-migrate.min1576.js	(from http://avsys.tothong.com/)
06:19:05	2991/2991	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2022%20Feb%202012%2004:06:15%20GMT	http://avsys.tothong.com/wp-content/themes/blogum/js/jquery.lazyload.mini.js?ver=4.4.2	C:/My%20Web%20Sites/avsys/avsys.tothong.com/wp-content/themes/blogum/js/jquery.lazyload.minic1f9.js	(from http://avsys.tothong.com/)
06:19:06	3306/3306	---M-Z	403	error ('Forbidden')	text/html	etag:%2299b889a9cd748e8b4eca0eb3758d138d%22	http://avsys.tothong.com/comments/feed/	C:/My%20Web%20Sites/avsys/avsys.tothong.com/comments/feed/index.html	(from http://avsys.tothong.com/)
06:19:07	1051/1051	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2022%20Feb%202012%2004:06:15%20GMT	http://avsys.tothong.com/wp-content/themes/blogum/js/script.js?ver=4.4.2	C:/My%20Web%20Sites/avsys/avsys.tothong.com/wp-content/themes/blogum/js/scriptc1f9.js	(from http://avsys.tothong.com/)
06:19:07	34850/34850	---MC-	200	added ('OK')	application/atom+xml	etag:%22dc31d5aa213ae03298aa61dde964fdb1%22	http://avsys.tothong.com/feed/atom/	C:/My%20Web%20Sites/avsys/avsys.tothong.com/feed/atom/index.html	(from http://avsys.tothong.com/)
06:19:08	33596/33596	---MC-	200	added ('OK')	application/rss+xml	etag:%22dc31d5aa213ae03298aa61dde964fdb1%22	http://avsys.tothong.com/feed/	C:/My%20Web%20Sites/avsys/avsys.tothong.com/feed/index.html	(from http://avsys.tothong.com/)
06:19:08	16/16	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202016%2010:19:08%20GMT	http://avsys.tothong.com/wp-admin/admin-ajax.php	C:/My%20Web%20Sites/avsys/avsys.tothong.com/wp-admin/admin-ajax.html	(from http://avsys.tothong.com/)
06:19:08	1597/1597	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202016%2010:19:08%20GMT	http://avsys.tothong.com/wp-content/plugins/devformatter/	C:/My%20Web%20Sites/avsys/avsys.tothong.com/wp-content/plugins/devformatter/index.html	(from http://avsys.tothong.com/)
06:19:08	988/988	---MC-	200	added ('OK')	application/json	date:Sat,%2009%20Jul%202016%2010:19:08%20GMT	http://avsys.tothong.com/wp-json/	C:/My%20Web%20Sites/avsys/avsys.tothong.com/wp-json/index.html	(from http://avsys.tothong.com/)
06:19:09	4098/4098	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2011%20Dec%202015%2006:42:36%20GMT	http://avsys.tothong.com/wp-content/plugins/devformatter/devfmt_common.js?ver=2015.0.2.1	C:/My%20Web%20Sites/avsys/avsys.tothong.com/wp-content/plugins/devformatter/devfmt_common21a3.js	(from http://avsys.tothong.com/)
06:19:09	616/616	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2011%20Dec%202015%2006:42:36%20GMT	http://avsys.tothong.com/wp-content/plugins/devformatter/devfmt_public.js?ver=2015.0.2.1	C:/My%20Web%20Sites/avsys/avsys.tothong.com/wp-content/plugins/devformatter/devfmt_public21a3.js	(from http://avsys.tothong.com/)
06:19:09	2153/2153	---MCZ	200	added ('OK')	text/css	date:Fri,%2011%20Dec%202015%2006:42:36%20GMT	http://avsys.tothong.com/wp-content/plugins/devformatter/devfmt_reset.css?ver=2015.0.2.1	C:/My%20Web%20Sites/avsys/avsys.tothong.com/wp-content/plugins/devformatter/devfmt_reset21a3.css	(from http://avsys.tothong.com/)
